country_other,total_cases,new_cases,total_death,new_death,total_recovered,active_cases,serious,tot_cases,total_death,Latitude,Longitude
China,"81,171",78,2,7,"73,159","4,735","1,573",56,2,35.86166,104.195397
Italy,"63,927",,101,,"7,432","50,418","3,204","1,057",101,41.87194,12.56738
USA,"46,274","2,540",2,35,295,"45,391","1,040",140,2,37.09024,-95.712891
Spain,"39,673","4,537",58,385,"3,794","33,183","2,355",849,58,40.463667,-3.74922
Germany,"31,370","2,314",2,10,749,"30,488",23,374,2,51.165691,10.451526
Iran,"24,811","1,762",23,122,"8,913","13,964",,295,23,32.427908,53.688046
France,"19,856",,13,,"2,200","16,796","2,082",304,13,46.227638,2.213749
Switzerland,"9,117",322,14,2,131,"8,864",141,"1,053",14,46.818188,8.227512
S. Korea,"9,037",76,2,9,"3,507","5,410",59,176,2,35.907757,127.766922
UK,"6,735",85,5,2,135,"6,263",20,99,5,55.378051,-3.435973
Netherlands,"5,560",811,16,63,2,"5,282",435,324,16,52.132633,5.291266
Austria,"4,971",497,3,7,9,"4,934",20,552,3,47.516231,14.550072
Belgium,"4,269",526,11,34,461,"3,686",381,368,11,50.503887,4.469936
Norway,"2,753",128,2,2,6,"2,735",44,508,2,60.472024,8.468946
Portugal,"2,362",302,3,7,22,"2,310",48,232,3,39.399872,-8.224454
Sweden,"2,286",240,4,9,16,"2,234",136,226,4,60.128161,18.643501
Australia,"2,144",257,0.3,1,118,"2,018",11,84,0.3,-25.274398,133.775136
Canada,"2,091",,0.6,,112,"1,955",1,55,0.6,56.130366,-106.346771
Brazil,"1,967",43,0.2,,2,"1,931",18,9,0.2,-14.235004,-51.92528
Israel,"1,656",214,0.2,1,49,"1,605",31,191,0.2,31.046051,34.851612
Malaysia,"1,624",106,0.5,1,183,"1,426",64,50,0.5,4.210484,101.975766
Denmark,"1,577",117,6,8,1,"1,544",69,272,6,56.26392,9.501785
Turkey,"1,529",,0.4,,,"1,492",,18,0.4,38.963745,35.243322
Czechia,"1,289",53,0.2,1,8,"1,279",19,120,0.2,49.817492,15.472962
Japan,"1,140",12,0.3,,285,813,54,9,0.3,36.204824,138.252924
Ireland,"1,125",,1,,5,"1,114",29,228,1,53.1423672,-7.6920536
Ecuador,981,,1,,3,960,2,56,1,-1.831239,-78.183406
Pakistan,958,83,0.03,1,13,938,,4,0.03,30.375321,69.345116
Chile,922,176,0.1,,17,903,7,48,0.1,-35.675147,-71.542969
Luxembourg,875,,13,,6,861,3,"1,398",13,49.815273,6.129583
Thailand,827,106,0.06,3,52,771,7,12,0.06,15.870032,100.992541
Poland,799,50,0.2,1,1,789,3,21,0.2,51.919438,19.145136
Finland,792,92,0.2,,10,781,11,143,0.2,61.92411,25.7481511
Saudi Arabia,767,205,0.03,1,28,738,,22,0.03,23.885942,45.079162
Romania,762,186,0.4,1,79,675,15,40,0.4,45.943161,24.96676
Diamond Princess,712,,,2,587,115,15,,,40.8642959,-73.9614914
Greece,695,,2,2,29,647,35,67,2,39.074208,21.824312
Iceland,648,60,6,1,51,595,13,"1,899",6,64.963051,-19.020835
Singapore,558,49,0.3,,156,400,14,95,0.3,1.352083,103.819836
South Africa,554,152,,,4,550,2,9,,-30.559482,22.937506
Philippines,552,90,0.3,2,20,497,1,5,0.3,12.879721,121.774017
India,519,20,0.01,,40,469,,0.4,0.01,20.593684,78.96288
Qatar,501,,,,37,464,6,174,,25.354826,51.183884
Russia,495,57,0.01,,22,472,8,3,0.01,61.52401,105.318756
Slovenia,480,38,2,1,3,473,12,231,2,46.151241,14.995463
Peru,395,,0.2,,1,389,19,12,0.2,-9.189967,-75.015152
Bahrain,390,13,2,1,164,223,2,229,2,26.0667,50.5577
Hong Kong,386,29,0.5,,102,280,4,51,0.5,22.3193039,114.1693611
Estonia,369,17,,,7,362,4,278,,58.595272,25.0136071
Mexico,367,51,0.03,1,4,359,1,3,0.03,23.634501,-102.552784
Egypt,366,,0.2,,68,279,,4,0.2,26.820553,30.802498
Croatia,361,46,0.2,,5,355,6,88,0.2,45.1,15.2000001
Panama,345,,1,,1,338,33,80,1,8.537981,-80.782127
Iraq,316,50,0.7,4,75,214,,8,0.7,33.223191,43.679291
Dominican Republic,312,67,0.6,3,3,303,,29,0.6,18.735693,-70.162651
Colombia,306,29,0.06,,6,297,,6,0.06,4.570868,-74.297333
Lebanon,304,37,0.6,,8,292,4,45,0.6,33.854721,35.862285
Serbia,303,54,0.3,,15,285,21,35,0.3,44.016521,21.005859
Argentina,301,,0.09,,51,246,,7,0.09,-38.416097,-63.616672
Armenia,235,,,,2,233,6,79,,40.069099,45.038189
Algeria,230,,0.4,,65,148,,5,0.4,28.033886,1.659626
Taiwan,216,21,0.08,,29,185,,9,0.08,23.69781,120.960515
Slovakia,204,18,,,7,197,2,37,,48.669026,19.699024
Lithuania,203,24,0.4,,1,201,1,75,0.4,55.169438,23.881275
Bulgaria,202,1,0.4,,3,196,8,29,0.4,42.733883,25.48583
UAE,198,,0.2,,41,155,2,20,0.2,23.424076,53.847818
Latvia,197,17,,,1,196,,104,,56.879635,24.603189
Kuwait,191,2,,,39,152,5,45,,29.31166,47.481766
San Marino,187,,619,1,4,162,12,"5,511",619,43.94236,12.457777
Hungary,187,20,0.9,1,21,157,6,19,0.9,47.162494,19.5033041
Andorra,164,31,13,,1,162,7,"2,123",13,42.506285,1.521801
Uruguay,162,,,,,162,3,47,,-32.522779,-55.765835
Costa Rica,158,,0.4,,2,154,2,31,0.4,9.748917,-83.753428
New Zealand,155,53,,,12,143,,32,,-40.900557,174.885971
Bosnia and Herzegovina,150,14,0.6,1,2,146,1,46,0.6,43.915886,17.679076
North Macedonia,148,12,1,,1,145,1,71,1,41.608635,21.745275
Morocco,143,,0.1,,5,134,1,4,0.1,31.791702,-7.09262
Vietnam,134,11,,,17,117,3,1,,14.058324,108.277199
Jordan,127,,,,1,126,,12,,30.585164,36.238414
Albania,123,19,2,1,10,108,2,43,2,41.153332,20.168331
Faeroe Islands,122,4,,,23,99,,"2,497",,61.892635,-6.9118061
Cyprus,116,,0.8,,3,112,3,96,0.8,35.126413,33.429859
Burkina Faso,114,15,0.2,,7,103,,5,0.2,12.238333,-1.561593
Tunisia,114,25,0.3,,1,110,11,10,0.3,33.886917,9.537499
Malta,110,3,,,2,108,1,249,,35.937496,14.375416
Moldova,109,,0.2,,2,106,10,27,0.2,47.411631,28.369885
Brunei ,104,13,,,2,102,2,238,,4.535277,114.727669
Sri Lanka,102,5,,,2,100,2,5,,7.873054,80.771797
Ukraine,97,24,0.07,,1,93,,2,0.07,48.379433,31.1655799
Cambodia,91,4,,,4,87,1,5,,12.565679,104.990963
Azerbaijan,87,15,0.1,,10,76,6,9,0.1,40.143105,47.576927
Senegal,86,7,,,8,78,,5,,14.497401,-14.452362
Oman,84,18,,,17,67,,16,,21.4735329,55.975413
Venezuela,84,,,,15,69,2,3,,6.42375,-66.58973
Belarus,81,,,,22,59,,9,,53.709807,27.953389
Réunion,75,4,,,1,74,,84,,-21.115141,55.536384
Kazakhstan,68,6,,,,68,,4,,48.019573,66.923684
Georgia,67,6,,,9,58,1,17,,32.1656221,-82.9000751
Cameroon,66,10,,,2,64,,2,,7.369722,12.354722
Guadeloupe,62,,2,,,61,4,155,2,16.265,-61.551
Palestine,60,1,,,16,44,,12,,31.952162,35.233154
Martinique,53,,3,,,52,7,141,3,14.641528,-61.024174
Ghana,52,25,0.06,,,50,,2,0.06,7.946527,-1.023194
Trinidad and Tobago,52,1,,,,52,,37,,10.691803,-61.222503
Liechtenstein,51,,,,,51,,"1,338",,47.166,9.555373
Uzbekistan,50,4,,,,50,,1,,41.377491,64.585262
DRC,45,9,0.02,,,43,,0.5,0.02,-4.038333,21.758664
Afghanistan,42,2,0.03,,1,40,,1,0.03,33.93911,67.709953
Nigeria,42,2,0,,2,39,,0.2,0,9.081999,8.675277
Kyrgyzstan,42,26,,,,42,,6,,41.20438,74.766098
Cuba,40,,0.09,,,39,3,4,0.09,21.521757,-77.781167
Bangladesh,39,6,0.02,1,5,30,,0.2,0.02,23.684994,90.356331
Puerto Rico,39,8,0.7,,1,36,,14,0.7,18.220833,-66.590149
Mauritius,36,,2,,,34,1,28,2,-20.348404,57.552152
Channel Islands,36,,,,,36,,207,,49.4466698,-2.342378
Mayotte,36,12,,,,36,,132,,-12.8275,45.166244
Rwanda,36,,,,,36,,3,,-1.940278,29.873888
Guam,32,3,6,,,31,,190,6,13.444304,144.793731
Honduras,30,,,,,30,,3,,15.199999,-86.241905
Montenegro,29,2,2,,,28,,46,2,42.708678,19.37439
Bolivia,28,1,,,,28,,2,,-16.290154,-63.588653
Paraguay,27,5,0.3,1,,25,1,4,0.3,-23.442503,-58.443832
Macao,25,,,,10,15,,39,,22.198745,113.543873
Ivory Coast,25,,,,2,23,,0.9,,7.539989,-5.54708
Kenya,25,9,,,,25,,0.5,,-0.023559,37.906193
Monaco,23,,,,1,22,,586,,43.7384176,7.4246158
French Guiana,23,3,,,6,17,,77,,3.933889,-53.125782
French Polynesia,23,5,,,,23,,82,,-17.679742,-149.406843
Jamaica,21,2,0.3,,2,18,,7,0.3,18.109581,-77.297508
Guatemala,20,,0.06,,,19,,1,0.06,15.783471,-90.230759
Guyana,20,,1,,,19,,25,1,4.860416,-58.93018
Isle of Man,20,7,,,,20,,235,,54.236107,-4.548056
Togo,20,2,,,1,19,,2,,8.619543,0.824782
Barbados,17,,,,,17,,59,,13.193887,-59.543198
Madagascar,17,5,,,,17,,0.6,,-18.766947,46.869107
U.S. Virgin Islands,17,,,,,17,,163,,18.335765,-64.896335
Gibraltar,15,,,,5,10,,445,,36.140751,-5.353585
Maldives,13,,,,5,8,,24,,3.202778,73.22068
Aruba,12,3,,,1,11,,112,,12.52111,-69.968338
Ethiopia,12,1,,,,12,,0.1,,9.145,40.489673
Tanzania,12,,,,,12,,0.2,,-6.369028,34.888822
Mongolia,10,,,,,10,,3,,46.862496,103.846656
New Caledonia,10,2,,,,10,,35,,-20.904305,165.618042
Equatorial Guinea,9,,,,,9,,6,,1.650801,10.267895
Uganda,9,,,,,9,,0.2,,1.373333,32.290275
Saint Martin,8,,,,,8,,207,,18.0708298,-63.0500809
Seychelles,7,,,,,7,,71,,-4.679574,55.491977
Gabon,6,,0.4,,,5,,3,0.4,-0.803689,11.609444
Benin,6,,,,,6,,0.5,,9.30769,2.315834
Bermuda,6,,,,,6,,96,,32.3078,-64.7505
Haiti,6,,,,,6,,0.5,,18.971187,-72.285215
Suriname,6,1,,,,6,,10,,3.919305,-56.027783
Cayman Islands,5,,15,,,4,,76,15,19.3133,-81.2546
El Salvador,5,2,,,,5,,0.8,,13.794185,-88.89653
Curaçao,4,,6,,,3,,24,6,12.16957,-68.99002
Bahamas,4,,,,,4,,10,,25.03428,-77.39628
Congo,4,,,,,4,,0.7,,-4.038333,21.758664
Fiji,4,1,,,,4,,4,,-17.713371,178.065032
Greenland,4,,,,2,2,,70,,71.706936,-42.604303
Guinea,4,,,,,4,,0.3,,9.945587,-9.696645
Namibia,4,,,,,4,,2,,-22.95764,18.49041
Eswatini,4,,,,,4,,3,,-26.522503,31.465866
Cabo Verde,3,,2,1,,2,,5,2,16.5388,-23.0418
Sudan,3,1,0.02,,,2,,0.07,0.02,12.862807,30.217636
Zimbabwe,3,,0.07,,,2,,0.2,0.07,-19.015438,29.154857
Angola,3,,,,,3,,0.09,,-11.202692,17.873887
Antigua and Barbuda,3,,,,,3,,31,,17.060816,-61.796428
CAR,3,,,,,3,,0.6,,37.0364115,-95.6276249
Chad,3,1,,,,3,,0.2,,15.454166,18.732207
Djibouti,3,,,,,3,,3,,11.825138,42.590275
Liberia,3,,,,,3,,0.6,,6.428055,-9.429499
Mozambique,3,2,,,,3,,0.1,,-18.665695,35.529562
Niger,3,,,,,3,,0.1,,17.607789,8.081666
St. Barth,3,,,,,3,,304,,17.9,-62.833333
Saint Lucia,3,,,,,3,,16,,13.909444,-60.978893
Zambia,3,,,,,3,,0.2,,-13.133897,27.849332
Gambia,2,,0.4,,,1,,0.8,0.4,13.443182,-15.310139
Nepal,2,,,,1,1,,0.07,,28.394857,84.124008
Bhutan,2,,,,,2,,3,,27.514162,90.433601
Dominica,2,,,,,2,,28,,15.414999,-61.370976
Laos,2,2,,,,2,,0.3,,19.85627,102.495496
Mauritania,2,,,,,2,,0.4,,21.00789,-10.940835
Myanmar,2,,,,,2,,0.04,,21.916221,95.955974
Nicaragua,2,,,,,2,,0.3,,12.865416,-85.207229
Sint Maarten,2,,,,,2,,47,,18.04248,-63.05483
Belize,1,,,,,1,,3,,17.189877,-88.49765
Eritrea,1,,,,,1,,0.3,,15.179384,39.782334
Grenada,1,,,,,1,,9,,12.1165,-61.679
Vatican City,1,,,,,1,,"1,248",,41.902916,12.453389
Montserrat,1,,,,,1,,200,,16.742498,-62.187366
Papua New Guinea,1,,,,,1,,0.1,,-6.314993,143.95555
St. Vincent Grenadines,1,,,,,1,,9,,12.984305,-61.287228
Somalia,1,,,,,1,,0.06,,5.152149,46.199616
Syria,1,,,,,1,,0.06,,34.802075,38.996815
Timor-Leste,1,,,,,1,,0.8,,-8.874217,125.727539
Turks and Caicos,1,,,,,1,,26,,21.694025,-71.797928
